"CRUISE","REGION","AGE","SPECIES_CODE","LENGTH","WEIGHT"
201801,"AI",10,21740,620,1446
201801,"AI",10,21740,690,1880
201801,"AI",11,21740,500,864
201801,"AI",11,21740,510,928
201801,"AI",11,21740,530,1000
201801,"AI",11,21740,530,1125
201801,"AI",11,21740,550,1374
201801,"AI",11,21740,570,1150
201801,"AI",11,21740,570,1455
201801,"AI",11,21740,580,1462
201801,"AI",11,21740,590,1208
201801,"AI",11,21740,590,1380
201801,"AI",11,21740,600,1674
201801,"AI",11,21740,610,1455
201801,"AI",11,21740,610,1540
201801,"AI",11,21740,610,1625
201801,"AI",11,21740,620,1620
201801,"AI",11,21740,650,1685
201801,"AI",11,21740,650,1980
201801,"AI",11,21740,660,1798
201801,"AI",11,21740,670,2236
201801,"AI",11,21740,680,1220
201801,"AI",12,21740,540,1046
201801,"AI",12,21740,540,1290
201801,"AI",12,21740,540,1320
201801,"AI",12,21740,550,1120
201801,"AI",12,21740,560,1348
201801,"AI",12,21740,560,1466
201801,"AI",12,21740,560,1550
201801,"AI",12,21740,570,1135
201801,"AI",12,21740,570,1270
201801,"AI",12,21740,570,1306
201801,"AI",12,21740,570,1405
201801,"AI",12,21740,580,1135
201801,"AI",12,21740,580,1310
201801,"AI",12,21740,600,1245
201801,"AI",12,21740,610,1236
201801,"AI",12,21740,610,1454
201801,"AI",12,21740,610,1780
201801,"AI",12,21740,620,1555
201801,"AI",12,21740,630,1475
201801,"AI",12,21740,630,1520
201801,"AI",12,21740,630,1524
201801,"AI",12,21740,640,1340
201801,"AI",12,21740,640,1450
201801,"AI",12,21740,640,1976
201801,"AI",12,21740,640,2020
201801,"AI",12,21740,660,1685
201801,"AI",12,21740,660,1764
201801,"AI",12,21740,680,1653
201801,"AI",12,21740,760,2415
201801,"AI",13,21740,540,1000
201801,"AI",13,21740,540,1115
201801,"AI",13,21740,560,950
201801,"AI",13,21740,570,1565
201801,"AI",13,21740,580,1194
201801,"AI",13,21740,580,1475
201801,"AI",13,21740,590,1365
201801,"AI",13,21740,590,1552
201801,"AI",13,21740,610,1498
201801,"AI",13,21740,630,1710
201801,"AI",13,21740,650,2354
201801,"AI",13,21740,680,1682
201801,"AI",13,21740,700,1478
201801,"AI",14,21740,490,826
201801,"AI",14,21740,550,1185
201801,"AI",14,21740,550,1244
201801,"AI",14,21740,590,1830
201801,"AI",14,21740,730,2206
201801,"AI",15,21740,590,1150
201801,"AI",15,21740,590,1205
201801,"AI",15,21740,600,1605
201801,"AI",15,21740,650,1298
201801,"AI",16,21740,640,1595
201801,"AI",16,21740,660,1240
201801,"AI",17,21740,610,1330
201801,"AI",17,21740,630,1822
